Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,xG,xGA,xGD,xGD/90,5 derniers,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Lille,32,20,9,3,53,19,+34,69,42.0,23.0,+19.0,+0.60,V N D V V,248,Jonathan David Burak Yılmaz - 10,Mike Maignan,
2,Paris S-G,32,21,3,8,71,23,+48,66,66.9,32.6,+34.3,+1.07,V D V D V,,Kylian Mbappé - 21,Keylor Navas,
3,Monaco,32,20,5,7,67,38,+29,65,56.9,28.8,+28.1,+0.88,D N V V V,,Wissam Ben Yedder - 17,Benjamin Lecomte,
4,Lyon,32,18,10,4,63,31,+32,64,71.0,34.3,+36.7,+1.15,V N D N V,274,Memphis Depay - 16,Anthony Lopes,
5,Lens,32,14,10,8,51,44,+7,52,50.3,38.7,+11.6,+0.36,V N V N V,,Gaël Kakuta - 10,Jean-Louis Leca,
6,Marseille,32,13,10,9,43,39,+4,49,37.0,38.7,-1.7,-0.05,V V D V N,,Florian Thauvin - 8,Steve Mandanda,
7,Rennes,32,13,9,10,40,35,+5,48,41.7,33.4,+8.2,+0.26,D V V N V,,Sehrou Guirassy - 7,Alfred Gomis,
8,Montpellier,32,12,10,10,52,53,-1,46,42.9,54.7,-11.7,-0.37,N N V N N,,Gaëtan Laborde - 12,Jonas Omlin,
9,Nice,32,12,7,13,41,42,-1,43,40.0,44.1,-4.1,-0.13,V N V V N,,Amine Gouiri - 12,Walter Benítez,
10,Metz,32,11,9,12,36,38,-2,42,36.7,40.8,-4.0,-0.13,D N D D D,591,Ibrahima Niane - 6,Alexandre Oukidja,
11,Angers,32,11,8,13,34,47,-13,41,36.0,42.3,-6.2,-0.19,V D N N D,,Stéphane Bahoken - 6,Paul Bernardoni,
12,Reims,32,9,13,10,38,38,0,40,29.4,49.0,-19.7,-0.62,V N V N N,,Boulaye Dia - 14,Predrag Rajković,
13,Saint-Étienne,32,10,9,13,36,47,-11,39,39.5,39.8,-0.3,-0.01,D V D V V,,Wahbi Khazri Denis Bouanga - 6,Jessy Moulin,
14,Strasbourg,32,10,6,16,41,50,-9,36,45.9,41.6,+4.3,+0.14,V D D V D,,Ludovic Ajorque - 12,Eiji Kawashima,
15,Bordeaux,32,10,6,16,35,45,-10,36,34.7,47.0,-12.3,-0.39,D V D D D,,Hwang Ui-jo - 11,Benoît Costil,
16,Brest,32,10,6,16,44,55,-11,36,40.7,46.6,-6.0,-0.19,V D N D N,,Franck Honorat - 8,Gautier Larsonneur,
17,Lorient,32,8,8,16,38,58,-20,32,40.1,44.9,-4.9,-0.15,N N N V D,,Terem Moffi - 9,Paul Nardi,
18,Nîmes,32,8,6,18,31,59,-28,30,32.7,57.8,-25.1,-0.78,D N V D N,,Renaud Ripart - 8,Baptiste Reynet,
19,Nantes,32,5,13,14,32,49,-17,28,39.4,47.4,-8.0,-0.25,D V N D D,,Ludovic Blas - 7,Alban Lafont,
20,Dijon,32,2,9,21,20,56,-36,15,25.3,63.5,-38.2,-1.19,D D D D D,,Mama Samba Baldé - 6,Anthony Racioppi,
