Date,Albert de Mun
2021-12-03T23:00:00.000Z,
2021-12-03T23:09:43.000Z,9.1
2021-12-03T23:19:43.000Z,9.3
2021-12-03T23:29:43.000Z,9.4
2021-12-03T23:39:43.000Z,9.6
2021-12-03T23:49:43.000Z,9.8
2021-12-03T23:59:43.000Z,10
2021-12-04T00:09:43.000Z,10.2
2021-12-04T00:19:43.000Z,10.4
2021-12-04T00:29:43.000Z,10.7
2021-12-04T00:39:43.000Z,10.9
2021-12-04T00:49:43.000Z,11.1
2021-12-04T00:59:43.000Z,11.3
2021-12-04T01:09:43.000Z,11.5
2021-12-04T01:19:43.000Z,11.6
2021-12-04T01:29:43.000Z,11.7
2021-12-04T01:39:43.000Z,11.7
2021-12-04T01:49:43.000Z,11.7
2021-12-04T01:59:43.000Z,11.8
2021-12-04T02:09:43.000Z,11.9
2021-12-04T02:19:43.000Z,12
2021-12-04T02:29:43.000Z,12.1
2021-12-04T02:39:43.000Z,12.1
2021-12-04T02:49:43.000Z,12.2
2021-12-04T02:59:43.000Z,12.3
2021-12-04T03:09:43.000Z,12.4
2021-12-04T03:19:43.000Z,12.4
2021-12-04T03:29:43.000Z,12.5
2021-12-04T03:39:43.000Z,12.4
2021-12-04T03:49:43.000Z,12.4
2021-12-04T03:59:43.000Z,12.3
2021-12-04T04:09:43.000Z,12.4
2021-12-04T04:19:43.000Z,12.5
2021-12-04T04:29:43.000Z,12.5
2021-12-04T04:39:43.000Z,12.6
2021-12-04T04:49:43.000Z,12.6
2021-12-04T04:59:43.000Z,12.6
2021-12-04T05:09:43.000Z,12.7
2021-12-04T05:19:43.000Z,12.6
2021-12-04T05:29:43.000Z,12.4
2021-12-04T05:39:43.000Z,12.4
2021-12-04T05:49:43.000Z,12.4
2021-12-04T05:59:43.000Z,12.4
2021-12-04T06:09:43.000Z,12.5
2021-12-04T06:19:43.000Z,12.5
2021-12-04T06:29:43.000Z,12.5
2021-12-04T06:39:43.000Z,12.5
2021-12-04T06:49:43.000Z,12.5
2021-12-04T06:59:43.000Z,12.7
2021-12-04T07:09:43.000Z,12.5
2021-12-04T07:19:43.000Z,12.3
2021-12-04T07:29:43.000Z,12.3
2021-12-04T07:39:43.000Z,12.3
2021-12-04T07:49:43.000Z,12.2
2021-12-04T07:59:43.000Z,12.2
2021-12-04T08:09:43.000Z,12.2
2021-12-04T08:19:43.000Z,12.1
2021-12-04T08:29:43.000Z,12.2
2021-12-04T08:39:43.000Z,12.3
2021-12-04T08:49:43.000Z,12.2
2021-12-04T08:59:43.000Z,12
2021-12-04T09:09:43.000Z,12
2021-12-04T09:19:43.000Z,11.7
2021-12-04T09:29:43.000Z,11.4
2021-12-04T09:39:43.000Z,11.3
2021-12-04T09:49:43.000Z,12
2021-12-04T09:59:43.000Z,11.9
2021-12-04T10:09:43.000Z,12.1
2021-12-04T10:19:43.000Z,11.9
2021-12-04T10:29:43.000Z,11.1
2021-12-04T10:39:43.000Z,10.9
2021-12-04T10:49:43.000Z,10.8
2021-12-04T10:59:43.000Z,10.7
2021-12-04T11:09:43.000Z,10.7
2021-12-04T11:19:43.000Z,10.5
2021-12-04T11:29:43.000Z,10.2
2021-12-04T11:39:43.000Z,10
2021-12-04T11:49:43.000Z,9.6
2021-12-04T11:59:43.000Z,9
2021-12-04T12:09:43.000Z,8
2021-12-04T12:19:43.000Z,7.5
2021-12-04T12:29:43.000Z,7.9
2021-12-04T12:39:43.000Z,8.2
2021-12-04T12:49:43.000Z,8.7
2021-12-04T12:59:43.000Z,8.9
2021-12-04T13:09:43.000Z,9.1
2021-12-04T13:19:43.000Z,9.2
2021-12-04T13:29:43.000Z,9
2021-12-04T13:39:43.000Z,8.9
2021-12-04T13:49:43.000Z,9
2021-12-04T13:59:43.000Z,9
2021-12-04T14:09:43.000Z,8.8
2021-12-04T14:19:43.000Z,8.7
2021-12-04T14:29:43.000Z,8.7
2021-12-04T14:39:43.000Z,8.5
2021-12-04T14:49:43.000Z,8.5
2021-12-04T14:59:43.000Z,8.6
2021-12-04T15:09:43.000Z,8.6
2021-12-04T15:19:43.000Z,8.4
2021-12-04T15:29:43.000Z,8.2
2021-12-04T15:39:43.000Z,8.2
2021-12-04T15:49:43.000Z,8.1
2021-12-04T15:59:43.000Z,7.6
2021-12-04T16:09:43.000Z,7.5
2021-12-04T16:19:43.000Z,7.2
2021-12-04T16:29:43.000Z,7
2021-12-04T16:39:43.000Z,6.7
2021-12-04T16:49:43.000Z,6.4
2021-12-04T16:59:43.000Z,6.4
2021-12-04T17:09:43.000Z,6.7
2021-12-04T17:19:43.000Z,6.3
2021-12-04T17:29:43.000Z,5.6
2021-12-04T17:39:43.000Z,5.7
2021-12-04T17:49:43.000Z,5.8
2021-12-04T17:59:43.000Z,5.6
2021-12-04T18:09:43.000Z,5.7
2021-12-04T18:19:43.000Z,6.1
2021-12-04T18:29:43.000Z,5.7
2021-12-04T18:39:43.000Z,5.8
2021-12-04T18:49:43.000Z,5.7
2021-12-04T18:59:43.000Z,5.5
2021-12-04T19:09:43.000Z,5.4
2021-12-04T19:19:43.000Z,5.5
2021-12-04T19:29:43.000Z,5.2
2021-12-04T19:39:43.000Z,5.3
2021-12-04T19:49:43.000Z,4.9
2021-12-04T19:59:43.000Z,4.8
2021-12-04T20:09:43.000Z,4.9
2021-12-04T20:19:43.000Z,4.8
2021-12-04T20:29:43.000Z,4.9
2021-12-04T20:39:43.000Z,5
2021-12-04T20:49:43.000Z,5.1
2021-12-04T20:59:43.000Z,5
2021-12-04T21:09:43.000Z,5.3
2021-12-04T21:19:43.000Z,5.3
2021-12-04T21:29:43.000Z,5.5
2021-12-04T21:39:43.000Z,5.4
2021-12-04T21:49:43.000Z,5.1
2021-12-04T21:59:43.000Z,5.2
2021-12-04T22:09:43.000Z,5.2
2021-12-04T23:00:00.000Z,
